Latitude,Longitude,Sample Date,ppt,tmax,tmin,soil,pet,vpd,q,aet,def
-28.760833,17.730278,02-01-2011,32.7,36.1,22.689999,0.0,174.2,2.9199998,1.6,31.1,143.1
-26.861111,28.884722,03-01-2011,51.1,27.16,13.219999,12.8,124.1,0.95,2.6,53.8,70.3
-26.45,28.085833,03-01-2011,62.7,27.519999,14.09,6.8,127.5,1.02,3.1,60.8,66.700005
-27.671111,27.236944,03-01-2011,84.2,28.869999,14.639999,7.2000003,129.7,1.22,4.2,83.200005,46.5
-27.356667,27.286389,03-01-2011,78.0,28.67,14.69,7.8,129.2,1.18,3.9000000000000004,77.3,51.9
-27.01011111,26.69808333,04-01-2011,106.0,24.18,9.809999,5.9,98.6,0.90999997,5.300000000000001,98.6,0.0
-25.127778,27.628889,04-01-2011,135.1,27.17,12.62,24.0,105.5,1.05,6.800000000000001,105.5,0.0
-25.20639,27.558,04-01-2011,143.4,27.0,12.5199995,33.600002,103.700005,1.04,7.2,103.700005,0.0
-24.69514,27.40906,04-01-2011,141.1,27.74,13.49,23.6,111.8,1.12,7.1000000000000005,111.8,0.0
-26.98472222,26.63227778,04-01-2011,109.30000000000001,24.35,9.98,10.7,98.200005,0.93,5.5,98.200005,0.0
-28.141944,26.417778,04-01-2011,90.9,23.88,8.78,4.8,93.8,0.90999997,4.5,87.700005,6.1
-27.398611,26.614722,04-01-2011,97.2,24.8,9.87,2.9,100.9,0.97999996,4.9,92.700005,8.2
-33.501667,21.624167,04-01-2011,16.3,24.55,9.33,0.1,100.200005,0.97999996,0.8,15.5,84.700005
-32.502778,19.535833,04-01-2011,16.2,27.06,10.92,0.6,119.9,1.35,0.8,15.400001,104.5
-25.45963889,28.26430556,04-01-2011,141.9,26.4,12.04,32.5,103.6,1.03,7.1000000000000005,103.6,0.0
-27.495556,26.074722,04-01-2011,99.5,24.73,9.17,0.4,99.700005,0.96,5.0,94.5,5.2000003
-26.648056,27.089444,05-01-2011,63.300000000000004,21.92,5.92,12.2,83.5,0.88,3.2,70.5,13.0
-26.970278,27.211111,05-01-2011,66.7,21.859999,6.14,14.900001,82.1,0.9,3.3000000000000003,72.5,9.6
-27.38972222,26.46388889,05-01-2011,97.4,22.81,6.98,9.7,83.200005,0.98999995,4.9,83.200005,0.0
-27.044444,27.005,05-01-2011,74.60000000000001,21.949999,6.25,13.0,82.4,0.9,3.7,75.6,6.8
-30.830556,26.921389,06-01-2011,54.1,14.589999,-0.94,8.0,57.0,0.51,2.7,53.100002,3.9
-27.00222,28.76528,06-01-2011,26.400000000000002,17.38,-2.55,15.6,70.0,0.64,1.3,37.100002,32.9
-27.02314,28.59389,06-01-2011,27.0,17.869999,-2.26,13.5,72.4,0.68,1.3,32.600002,39.8
-30.679722,26.7125,06-01-2011,44.900000000000006,15.74,-0.61,5.1,59.8,0.57,2.2,44.4,15.400001
-30.160091,27.40124,06-01-2011,53.800000000000004,14.62,-0.44,15.900001,57.4,0.55,2.7,54.0,3.4
-32.595833,19.009444,06-01-2011,73.2,19.279999,6.42,19.1,52.7,0.65999997,3.7,52.7,0.0
-25.99136,27.84208,10-01-2011,48.0,28.539999,11.05,6.3,173.2,1.4599999,2.4000000000000004,46.7,126.5
-26.73806,27.59194,10-01-2011,39.5,28.34,10.179999,5.3,179.40001,1.48,2.0,38.5,140.90001
-26.45,28.085833,10-01-2011,45.300000000000004,27.91,10.01,5.6,172.90001,1.39,2.3000000000000003,43.9,129.0
-30.86013889,29.07125,10-01-2011,28.8,25.609999,10.95,9.900001,138.0,1.03,1.4000000000000001,30.1,107.9
-27.356667,27.286389,10-01-2011,31.6,29.06,10.19,3.7,185.8,1.5799999,1.6,30.5,155.3
-27.01011111,26.69808333,11-01-2011,44.300000000000004,30.09,12.559999,2.3,191.7,1.5799999,2.2,42.3,149.40001
-25.73411,27.21422,11-01-2011,56.2,29.99,12.88,5.6,182.5,1.43,2.8000000000000003,54.2,128.3
-26.98472222,26.63227778,11-01-2011,44.300000000000004,30.16,12.74,2.7,192.0,1.5999999,2.2,42.4,149.6
-27.398611,26.614722,11-01-2011,45.2,30.63,12.32,2.7,197.40001,1.68,2.3000000000000003,43.2,154.2
-27.671111,27.236944,11-01-2011,42.2,30.029999,11.679999,2.9,192.1,1.5699999,2.1,40.5,151.6
-29.160278,26.573333,11-01-2011,29.5,29.3,9.62,2.7,199.1,1.61,1.5,28.4,170.7
-34.250556,20.9925,11-01-2011,51.900000000000006,24.189999,12.67,12.3,140.2,0.76,2.6,52.8,87.4
-25.45963889,28.26430556,11-01-2011,54.2,31.4,14.759999,5.7000003,182.8,1.51,2.7,52.2,130.6
-25.81048333,27.90955222,12-01-2011,100.5,28.97,16.56,5.1,164.1,1.3299999,5.0,96.1,68.0
-27.273889,28.49,12-01-2011,104.7,27.599998,14.009999,4.4,164.3,1.24,5.2,100.1,64.200005
-27.4275,28.525833,12-01-2011,107.7,27.46,13.75,3.8,163.6,1.22,5.4,102.8,60.8
-28.883333,27.89,12-01-2011,105.80000000000001,26.349998,12.929999,3.3,164.2,1.18,5.300000000000001,101.0,63.2
-27.00222,28.76528,13-01-2011,95.4,27.63,14.11,5.0,161.6,1.22,4.800000000000001,91.200005,70.4
-27.02314,28.59389,13-01-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-30.534167,24.961944,13-01-2011,44.900000000000006,29.9,13.13,0.0,205.0,1.7099999,2.2,42.600002,162.40001
