,Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,nir,green,swir16,swir22,NDMI,MNDWI,ppt,tmax,tmin,soil,pet,vpd,q,aet,def
Latitude,1.0,0.6244678283279648,0.31849467537661763,0.11572652582360833,0.25701029697296424,-0.042790854650597974,0.010520202052828307,0.12118264825203572,0.13774899934730248,-0.2334957360403157,-0.11684586606492202,0.36016602021449773,0.23606755453914083,0.17188046476582616,-0.013727417059341673,-0.10742550766522323,0.10961832377103393,0.11957173486226032,0.40348498289908263,-0.3235169966412044
Longitude,0.6244678283279648,1.0,0.03668596377356704,-0.21380836621014124,0.02274346634001829,0.05012515167577116,-0.01270241944055321,0.07682711761304903,0.06001154174548325,-0.057101359743934064,-0.12348975813183603,0.5164636201260692,-0.21706333472597977,0.08529512645733203,0.3228045207266065,-0.6045765511219873,-0.44733549193272343,0.2756072689734726,0.5582544223925314,-0.6499574777728289
Total Alkalinity,0.31849467537661763,0.03668596377356704,1.0,0.6924362741754638,0.31677672520176364,0.015578588561048561,0.06162213716163687,0.19191266402445586,0.21144585002143884,-0.2740700339901928,-0.15461357144209203,-0.042258752544395026,0.3117476581197851,0.03404205397295225,-0.27095592705661437,0.2635154957396245,0.3372451887190411,-0.09443566217338917,-0.02484497128782866,0.13393174222550677
Electrical Conductance,0.11572652582360833,-0.21380836621014124,0.6924362741754638,1.0,0.27940547522131903,0.03728872850908377,0.02829273161331069,0.14465906755062852,0.15979700272338973,-0.17750565982111272,-0.14156924212812738,-0.15732394757246823,0.2998229282444814,0.1029454126690905,-0.28236756235328087,0.3228114470088191,0.328005724838613,-0.14104027175703832,-0.15640539220884273,0.2501881039510517
Dissolved Reactive Phosphorus,0.25701029697296424,0.02274346634001829,0.31677672520176364,0.27940547522131903,1.0,-0.004761709154548541,0.008321043056879841,0.05986051099095091,0.06589960580258578,-0.08501191523624817,-0.04831918589374571,0.0243459441374998,0.035861444896641954,-0.06805345229230961,-0.17727323661666106,0.06256620293702557,0.04197294895919931,-0.04838943833915496,0.045562047117646255,-0.0033819840605160147
nir,-0.042790854650597974,0.05012515167577116,0.015578588561048561,0.03728872850908377,-0.004761709154548541,1.0,0.5623782950269807,0.7226857705813575,0.6310829894266797,0.1416240261422858,-0.43293597940400863,0.039975895030654796,-0.13440268398682675,-0.014357220225953156,0.08767907927939049,-0.15851422138337967,-0.1967019926636163,0.03913833924996766,0.027486721302760312,-0.0886517960878014
green,0.010520202052828307,-0.01270241944055321,0.06162213716163687,0.02829273161331069,0.008321043056879841,0.5623782950269807,1.0,0.5934621210823995,0.553481188934594,-0.129510819718191,0.12833151961404285,-0.030787598674646022,0.04818629646311436,-0.006019104364829418,-0.04030429659370409,0.04448957849663378,0.05227995153596434,-0.0226146564719284,-0.028979411033069273,0.039550728224768066
swir16,0.12118264825203572,0.07682711761304903,0.19191266402445586,0.14465906755062852,0.05986051099095091,0.7226857705813575,0.5934621210823995,1.0,0.953234187931722,-0.5549629116480156,-0.6773722921343996,-0.016383001849213336,0.010286947713057236,-0.042238104988110106,-0.01707716227000963,-0.01837840445413811,-0.05646121874922493,-0.008528910699780444,-0.007990898236316405,-0.002567656019317553
swir22,0.13774899934730248,0.06001154174548325,0.21144585002143884,0.15979700272338973,0.06589960580258578,0.6310829894266797,0.553481188934594,0.953234187931722,1.0,-0.633755161482332,-0.624924584278201,-0.059241498907742114,0.08283818903641071,-0.022227340033212355,-0.041176329320433525,0.050783848758879556,0.020214632571141717,-0.03380626802814631,-0.047541815363085396,0.05512294830740134
NDMI,-0.2334957360403157,-0.057101359743934064,-0.2740700339901928,-0.17750565982111272,-0.08501191523624817,0.1416240261422858,-0.129510819718191,-0.5549629116480156,-0.633755161482332,1.0,0.5044466768385324,0.07342326235305098,-0.1898420142982043,0.03652000579636635,0.12347569264638728,-0.17125716548462688,-0.162260018301003,0.05943376539556632,0.045358915406387146,-0.10658303898430074
MNDWI,-0.11684586606492202,-0.12348975813183603,-0.15461357144209203,-0.14156924212812738,-0.04831918589374571,-0.43293597940400863,0.12833151961404285,-0.6773722921343996,-0.624924584278201,0.5044466768385324,1.0,-0.03631229529016928,0.08755677777717683,0.044712186856905554,-0.05972761171483081,0.11916500809746934,0.19484003733196376,-0.029683246745403857,-0.04407377297914781,0.08279426073176058
ppt,0.36016602021449773,0.5164636201260692,-0.042258752544395026,-0.15732394757246823,0.0243459441374998,0.039975895030654796,-0.030787598674646022,-0.016383001849213336,-0.059241498907742114,0.07342326235305098,-0.03631229529016928,1.0,-0.38849643969627573,0.010591713578340657,0.5502465318164379,-0.5382551426071659,-0.41299777661895465,0.6891113622730092,0.9372771022336421,-0.8796430661815642
tmax,0.23606755453914083,-0.21706333472597977,0.3117476581197851,0.2998229282444814,0.035861444896641954,-0.13440268398682675,0.04818629646311436,0.010286947713057236,0.08283818903641071,-0.1898420142982043,0.08755677777717683,-0.38849643969627573,1.0,0.6121905583682484,-0.3201375000222046,0.8160549317383954,0.8688628150204237,-0.2682213590495394,-0.3923885980269799,0.6304161712713316
tmin,0.17188046476582616,0.08529512645733203,0.03404205397295225,0.1029454126690905,-0.06805345229230961,-0.014357220225953156,-0.006019104364829418,-0.042238104988110106,-0.022227340033212355,0.03652000579636635,0.044712186856905554,0.010591713578340657,0.6121905583682484,1.0,0.08369313045631664,0.2903273419100844,0.27408810896672325,-0.02104994705137687,0.020443188706416263,0.11486944807115831
soil,-0.013727417059341673,0.3228045207266065,-0.27095592705661437,-0.28236756235328087,-0.17727323661666106,0.08767907927939049,-0.04030429659370409,-0.01707716227000963,-0.041176329320433525,0.12347569264638728,-0.05972761171483081,0.5502465318164379,-0.3201375000222046,0.08369313045631664,1.0,-0.4404960841751967,-0.4059570115155722,0.5953176903454357,0.4179226030123279,-0.4812018590403721
pet,-0.10742550766522323,-0.6045765511219873,0.2635154957396245,0.3228114470088191,0.06256620293702557,-0.15851422138337967,0.04448957849663378,-0.01837840445413811,0.050783848758879556,-0.17125716548462688,0.11916500809746934,-0.5382551426071659,0.8160549317383954,0.2903273419100844,-0.4404960841751967,1.0,0.8814888415274396,-0.33185036554730024,-0.5531833973446943,0.8219770744450595
vpd,0.10961832377103393,-0.44733549193272343,0.3372451887190411,0.328005724838613,0.04197294895919931,-0.1967019926636163,0.05227995153596434,-0.05646121874922493,0.020214632571141717,-0.162260018301003,0.19484003733196376,-0.41299777661895465,0.8688628150204237,0.27408810896672325,-0.4059570115155722,0.8814888415274396,1.0,-0.2678596850472731,-0.4328110630919463,0.6870901146347821
q,0.11957173486226032,0.2756072689734726,-0.09443566217338917,-0.14104027175703832,-0.04838943833915496,0.03913833924996766,-0.0226146564719284,-0.008528910699780444,-0.03380626802814631,0.05943376539556632,-0.029683246745403857,0.6891113622730092,-0.2682213590495394,-0.02104994705137687,0.5953176903454357,-0.33185036554730024,-0.2678596850472731,1.0,0.47361303654698944,-0.4710583114966262
