,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
Latitude,9319.0,-28.474987533086168,2.7602817180356074,-34.405833,-34.329722,-34.005833,-30.160091,-28.058889,-26.861111,-24.39619444,-22.769722,-22.225556
Longitude,9319.0,26.86841436752763,3.535164465773695,17.730278,18.3306,19.07472222,26.126667,27.40906,29.245556,31.391944,31.982222,32.325
Total Alkalinity,9319.0,119.10820776548665,74.69259139916745,4.8,5.0514600000000005,14.340900000000005,55.811,113.3,170.23000000000002,253.744,314.88605999999976,361.676
Electrical Conductance,9319.0,485.0041459205279,341.9377361193655,15.12,51.854,88.78,207.05,402.0,693.0,1210.1000000000004,1455.8199999999997,1506.0
Dissolved Reactive Phosphorus,9319.0,43.525338019100765,50.98019423135443,5.0,10.0,10.0,10.0,20.0,48.0,166.0,191.0,195.0
nir,8234.0,14045.485426281273,2953.223626195179,3992.0,6680.59,9018.65,12723.625,14183.0,15513.875,17937.5,21346.925000000007,65535.0
green,8234.0,9983.213140636386,2778.780177138488,4045.0,4785.97,8613.8,9370.0,9801.0,10286.0,11225.525,15675.925000000025,65535.0
swir16,8234.0,13567.45931503522,3348.5176572289015,3672.5,6086.535,7960.55,11760.625,13704.25,15425.625,18173.324999999993,20762.255,65535.0
swir22,8234.0,11425.538377459316,2548.1935348892575,3634.0,4930.0,7751.0,9839.5,11265.25,12895.5,15355.424999999997,18282.695000000007,31202.5
NDMI,8234.0,0.02137363060710112,0.07789726054889558,-0.3282932440170049,-0.1252906020441098,-0.0983844277257447,-0.03686858572219993,0.02154871859009665,0.07329731482759941,0.1521168094780886,0.20697580766138343,0.5679051698376321
MNDWI,8234.0,-0.14426809974535673,0.09764556006987321,-0.3004867974627517,-0.2792094940165838,-0.2581559774611482,-0.21126968237814042,-0.1679009137759293,-0.10467703777248805,0.0615202048591589,0.16005827406115467,0.5909742390525391
ppt,9319.0,70.28930142719176,55.50166388947426,0.0,0.8180000000000007,6.6000000000000005,28.3,54.8,100.5,173.96000000000024,237.2,374.2000000000001
tmax,9319.0,30.221831310333727,2.9500942979591573,14.589999,23.75,25.68,28.42,30.179998,32.079998,35.61600000000002,36.969997,38.61
tmin,9319.0,16.313303720828415,2.6289412799477376,-3.3,6.2154,13.059999,15.0,16.24,17.8,20.48,21.52,22.949999
soil,9319.0,8.678978517793754,17.08858353521921,0.0,0.0,0.1,1.0,2.7,7.2000003,48.3,81.1,162.2
pet,9319.0,175.16608207522262,29.46986654040361,52.7,99.79000500000001,132.5,156.1,172.5,193.1,229.40001,249.69199999999984,270.80002
vpd,9319.0,1.4155724613574419,0.48924749465566364,0.51,0.65,0.76,1.0699999,1.36,1.62,2.47,3.03,3.31
q,9319.0,4.29326107951497,7.91347415975296,0.0,0.0,0.3,1.4,2.7,5.0,8.8,39.900000000000006,129.0
aet,9319.0,65.47602822046142,45.39735255488721,0.0,1.0,6.790000030000003,27.2,55.600002,100.700005,144.0,160.1,173.40001
def,9319.0,109.69005398671531,66.40444145342416,0.0,0.0,0.0,58.65,116.1,157.0,212.89000000000033,243.90001,264.1
