column,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_pct
Dissolved Reactive Phosphorus,10.0,48.0,38.0,-47.0,105.0,1398,15.001609614765531
soil,1.0,7.2000003,6.2000003,-8.30000045,16.50000075,1143,12.265264513359803
Longitude,26.126667,29.245556,3.1188889999999994,21.448333500000004,33.9238895,1131,12.13649533211718
nir,12723.625,15513.875,2790.25,8538.25,19699.25,474,5.756618897255283
MNDWI,-0.21126968237814042,-0.10467703777248805,0.10659264460565238,-0.371158649286619,0.05521192913599052,456,5.538013116346854
vpd,1.0699999,1.62,0.5500001000000001,0.24499974999999985,2.4450001500000003,506,5.429767142397253
green,9370.0,10286.0,916.0,7996.0,11660.0,412,5.003643429681808
q,1.4,5.0,3.6,-4.0,10.4,297,3.1870372357549095
swir22,9839.5,12895.5,3056.0,5255.5,17479.5,209,2.538256011658975
ppt,28.3,100.5,72.2,-80.00000000000001,208.8,225,2.414422148299174
swir16,11760.625,15425.625,3665.0,6263.125,20923.125,172,2.088899684236094
pet,156.1,193.1,37.0,100.6,248.6,194,2.081768430089065
tmin,15.0,17.8,2.8000000000000007,10.799999999999999,22.0,192,2.0603068998819616
Electrical Conductance,207.05,693.0,485.95,-521.875,1421.925,169,1.8134993025002681
tmax,28.42,32.079998,3.6599980000000016,22.930003,37.569995000000006,112,1.201845691597811
NDMI,-0.03686858572219993,0.07329731482759941,0.11016590054979933,-0.2021174365468989,0.2385461656522984,41,0.49793538984697594
Total Alkalinity,55.811,170.23000000000002,114.41900000000001,-115.81750000000002,341.85850000000005,43,0.461422899452731
Latitude,-30.160091,-26.861111,3.2989800000000002,-35.108561,-21.912641,0,0.0
aet,27.2,100.700005,73.500005,-83.0500075,210.9500125,0,0.0
def,58.65,157.0,98.35,-88.87499999999997,304.525,0,0.0
