,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,max_abs_target_corr
Electrical Conductance,0.6924362741754638,1.0,0.27940547522131903,1.0
Total Alkalinity,1.0,0.6924362741754638,0.31677672520176364,1.0
Dissolved Reactive Phosphorus,0.31677672520176364,0.27940547522131903,1.0,1.0
vpd,0.3372451887190411,0.328005724838613,0.04197294895919931,0.3372451887190411
pet,0.2635154957396245,0.3228114470088191,0.06256620293702557,0.3228114470088191
Latitude,0.31849467537661763,0.11572652582360833,0.25701029697296424,0.31849467537661763
tmax,0.3117476581197851,0.2998229282444814,0.035861444896641954,0.3117476581197851
soil,-0.27095592705661437,-0.28236756235328087,-0.17727323661666106,0.28236756235328087
NDMI,-0.2740700339901928,-0.17750565982111272,-0.08501191523624817,0.2740700339901928
def,0.13393174222550677,0.2501881039510517,-0.0033819840605160147,0.2501881039510517
Longitude,0.03668596377356704,-0.21380836621014124,0.02274346634001829,0.21380836621014124
swir22,0.21144585002143884,0.15979700272338973,0.06589960580258578,0.21144585002143884
swir16,0.19191266402445586,0.14465906755062852,0.05986051099095091,0.19191266402445586
ppt,-0.042258752544395026,-0.15732394757246823,0.0243459441374998,0.15732394757246823
aet,-0.02484497128782866,-0.15640539220884273,0.045562047117646255,0.15640539220884273
MNDWI,-0.15461357144209203,-0.14156924212812738,-0.04831918589374571,0.15461357144209203
q,-0.09443566217338917,-0.14104027175703832,-0.04838943833915496,0.14104027175703832
tmin,0.03404205397295225,0.1029454126690905,-0.06805345229230961,0.1029454126690905
green,0.06162213716163687,0.02829273161331069,0.008321043056879841,0.06162213716163687
nir,0.015578588561048561,0.03728872850908377,-0.004761709154548541,0.03728872850908377
