year,month,count
2011,1,114
2011,2,117
2011,3,133
2011,4,110
2011,5,153
2011,6,145
2011,7,122
2011,8,161
2011,9,160
2011,10,139
2011,11,155
2011,12,93
2012,1,137
2012,2,128
2012,3,136
2012,4,137
2012,5,163
2012,6,167
2012,7,143
2012,8,153
2012,9,150
2012,10,178
2012,11,158
2012,12,106
2013,1,161
2013,2,152
2013,3,171
2013,4,169
2013,5,172
2013,6,149
2013,7,181
2013,8,171
2013,9,161
2013,10,185
2013,11,174
2013,12,105
2014,1,156
2014,2,164
2014,3,179
2014,4,188
2014,5,179
2014,6,171
2014,7,190
2014,8,175
2014,9,189
2014,10,196
2014,11,170
2014,12,127
2015,1,155
2015,2,180
2015,3,184
2015,4,170
2015,5,162
2015,6,188
2015,7,172
2015,8,150
2015,9,167
2015,10,160
2015,11,132
2015,12,106
